4663 4 10302 010 010199
7075 1 17621 020 017269
0082 1 12740 020 012486
2508 2 15749 030 015277
4630 3 19567 015 019274
9218 3 15081 015 014855
5583 1 01766 020 001731
7444 3 01807 015 001780
7804 4 06876 010 006808
4663 2 05438 030 005275
5192 3 00856 015 000844
0219 3 19436 015 019145
5207 4 20587 010 020382
8202 4 11184 010 011073
9065 2 18319 030 017770
4663 2 12379 030 012008
8941 2 14454 030 014021
0082 4 10995 010 010886
7644 1 16581 020 016250
4663 1 14116 020 013834
1842 2 12578 030 012201
5829 3 17393 015 017133
5107 4 06113 010 006052
6143 2 19591 030 019004
5263 3 11816 015 011639
8140 3 09743 015 009597
2855 2 13407 030 013005
4967 1 11497 020 011268
0899 1 13629 020 013357
9596 2 17346 030 016826
8638 2 00270 030 000262
7603 2 11903 030 011546
1973 4 20590 010 020385
5233 4 11530 010 011415
2681 1 17840 020 017484
3950 2 18207 030 017661
8738 1 20241 020 019837
8698 2 11708 030 011357
9060 2 18121 030 017578
0082 1 09953 020 009754
4052 5 20927 000 020927
8418 4 09795 010 009698
7933 3 19960 015 019661
1893 0 20380 000 020380
0082 2 07156 030 006942
9642 2 18519 030 017964
9096 2 15487 030 015023
7544 4 08721 010 008634
8426 0 17034 000 017034
0657 5 04967 000 004967
3139 3 07792 015 007676
3211 4 10453 010 010349
4186 2 14572 030 014135
3139 4 03885 010 003847
6278 7 03934 000 003934
6151 4 10061 010 009961
6975 1 09389 020 009202
3139 1 12936 020 012678
1278 3 18364 015 018089
0782 2 17979 030 017440
2408 1 13643 020 013371
5483 1 19171 020 018788
7344 2 09378 030 009097
3139 3 11657 015 011483
5092 2 11841 030 011486
0065 4 12934 010 012805
8841 4 18152 010 017971
1742 4 13324 010 013191
5729 0 01100 000 001100
